"month","max_sb","max_lb","max_xlb"
"01",9918255.52,3917569.95,206519.3
"02",13384586.8,5719096.61,303536.64
"03",12540327.19,3988101.74,309467.53
"04",9463810.58,3434846.78,207846.53
"05",11228049.63,4324231.19,256887.21
"06",10103007.01,3267491.24,347390.14
"07",11112405.61,3119708.27,551693.65
"08",8749239.27,3118889.17,317517.95
"09",8555283.68,2476400.79,218394.57
"10",7408765.9,2981275.76,91798.83
"11",7470394.42,3275463.49,95159
"12",8404955.25,3122650.26,199305.12
